id,project_id,name,date_created,task_start_date,task_end_date,status,assigned_to_id
1,12,Create Database Schema,10-08-2022,12-08-2022,15-08-2022,1,1
2,12,Implement API,25-07-2022,13-08-2022,16-08-2022,1,1
3,12,Conduct Market Research,26-07-2022,14-08-2022,17-08-2022,1,1
4,12,Design UI/UX,27-07-2022,15-08-2022,18-08-2022,1,1
5,12,Write Documentation,28-07-2022,16-08-2022,19-08-2022,1,1
6,12,Conduct Interviews,29-07-2022,17-08-2022,20-08-2022,1,1
7,12,Test Application,30-07-2022,18-08-2022,21-08-2022,1,1
8,12,Develop Backend,31-07-2022,19-08-2022,22-08-2022,1,1
9,12,Create Frontend,01-08-2022,20-08-2022,23-08-2022,1,1
10,12,Analyze Results,02-08-2022,21-08-2022,24-08-2022,1,1
11,12,Deploy Application,03-08-2022,22-08-2022,25-08-2022,1,1
12,12,Review Progress,04-08-2022,23-08-2022,26-08-2022,1,1
13,12,Create Unit Tests,05-08-2022,24-08-2022,27-08-2022,1,1
14,12,Develop Prototype,06-08-2022,25-08-2022,28-08-2022,1,1
15,12,Implement Security Measures,07-08-2022,26-08-2022,29-08-2022,1,1
16,12,Conduct Training,08-08-2022,27-08-2022,30-08-2022,1,1
17,12,Review Requirements,09-08-2022,28-08-2022,31-08-2022,1,1
18,12,Plan Project Timeline,10-08-2022,29-08-2022,01-09-2022,1,1
19,12,Write Report,11-08-2022,30-08-2022,02-09-2022,1,1
20,12,Manage Stakeholders,12-08-2022,31-08-2022,03-09-2022,1,1
